year,month,site,device_type,days_monitored,days_present,percent_occurrence
2023,Apr,RTWB,RealTime,30,1,3
2023,Apr,T2M,Archival,11,0,0
2023,May,A2M,Archival,31,0,0
2023,May,A7M,Archival,31,0,0
2023,May,RTWB,RealTime,31,0,0
2023,May,T2M,Archival,31,0,0
2023,Jun,A2M,Archival,30,0,0
2023,Jun,A7M,Archival,30,0,0
2023,Jun,RTWB,RealTime,30,0,0
2023,Jun,T2M,Archival,30,0,0
2023,Jul,A2M,Archival,31,0,0
2023,Jul,A7M,Archival,31,0,0
2023,Jul,RTWB,RealTime,31,0,0
2023,Jul,T2M,Archival,31,0,0
2023,Aug,A2M,Archival,31,0,0
2023,Aug,A7M,Archival,31,0,0
2023,Aug,RTWB,RealTime,31,0,0
2023,Aug,T2M,Archival,31,0,0
2023,Sep,A2M,Archival,30,0,0
2023,Sep,A7M,Archival,30,0,0
2023,Sep,RTWB,RealTime,30,0,0
2023,Sep,T2M,Archival,30,0,0
2023,Oct,A2M,Archival,31,0,0
2023,Oct,A7M,Archival,31,0,0
2023,Oct,RTWB,RealTime,31,0,0
2023,Oct,T2M,Archival,31,0,0
2023,Nov,A2M,Archival,30,3,10
2023,Nov,A7M,Archival,30,2,7
2023,Nov,RTWB,RealTime,30,1,3
2023,Nov,T2M,Archival,30,1,3
2023,Dec,A2M,Archival,31,15,48
2023,Dec,A7M,Archival,31,14,45
2023,Dec,RTWB,RealTime,31,11,35
2023,Dec,T2M,Archival,31,10,32
2024,Jan,A2M,Archival,31,17,55
2024,Jan,A7M,Archival,31,29,94
2024,Jan,RTWB,RealTime,31,21,68
2024,Jan,T2M,Archival,31,23,74
2024,Feb,A2M,Archival,29,11,38
2024,Feb,A7M,Archival,29,8,28
2024,Feb,RTWB,RealTime,29,8,28
2024,Feb,T2M,Archival,29,7,24
2024,Mar,A2M,Archival,31,4,13
2024,Mar,A7M,Archival,31,14,45
2024,Mar,RTWB,RealTime,31,12,39
2024,Mar,T2M,Archival,31,13,42
2024,Apr,A2M,Archival,17,0,0
2024,Apr,A7M,Archival,17,2,12
2024,Apr,RTWB,RealTime,30,6,20
2024,Apr,T2M,Archival,17,5,29
2024,May,RTWB,RealTime,31,4,13
2024,Jun,RTWB,RealTime,30,1,3
2024,Jul,RTWB,RealTime,15,0,0
2024,Oct,RTWB,RealTime,5,0,0
2024,Nov,RTWB,RealTime,30,2,7
2024,Dec,RTWB,RealTime,31,12,39
