period_start,device_type,site,days_monitored,days_present,percent_occurrence,mean_chla
6/30/15,Archival,A7M,8,0,0,0.59572923
6/30/15,Archival,T2M,8,0,0,0.487473716
7/8/15,Archival,A2M,8,0,0,1.580709988
7/8/15,Archival,A7M,8,0,0,0.617792788
7/8/15,Archival,T2M,8,0,0,0.584446937
7/16/15,Archival,A2M,8,0,0,1.000651779
7/16/15,Archival,A7M,8,0,0,0.427981578
7/16/15,Archival,T2M,8,0,0,0.41629371
7/24/15,Archival,A2M,8,1,12.5,0.707634342
7/24/15,Archival,A7M,8,1,12.5,0.563893345
7/24/15,Archival,T2M,8,1,12.5,0.518858218
8/1/15,Archival,A2M,8,0,0,0.864047918
8/1/15,Archival,A7M,8,0,0,0.513303474
8/1/15,Archival,T2M,8,0,0,0.705086672
8/9/15,Archival,A2M,8,0,0,2.274654198
8/9/15,Archival,A7M,8,0,0,2.021380603
8/9/15,Archival,T2M,8,0,0,2.023326744
8/17/15,Archival,A2M,7,0,0,4.372729707
8/17/15,Archival,A7M,8,0,0,3.000336206
8/17/15,Archival,T2M,8,0,0,4.638449478
8/25/15,Archival,A7M,8,0,0,5.844214296
8/25/15,Archival,T2M,8,1,12.5,5.723596096
9/2/15,Archival,A7M,8,0,0,2.922796813
9/2/15,Archival,T2M,8,0,0,3.268079519
9/10/15,Archival,A2M,8,0,0,9.08079958
9/10/15,Archival,A7M,8,0,0,6.232270551
9/10/15,Achival,T2M,8,0,0,7.570483279
9/18/15,Archival,A2M,7,0,0,7.995956457
9/18/15,Archival,A7M,8,0,0,2.805997944
9/18/15,Archival,T2M,8,0,0,2.064385861
9/26/15,Archival,A2M,8,0,0,3.665774028
9/26/15,Archival,A7M,8,0,0,2.338153911
9/26/15,Archival,T2M,8,0,0,2.2775021
10/4/15,Archival,A2M,8,0,0,2.46033603
10/4/15,Archival,A7M,8,0,0,1.161043695
10/4/15,Archival,T2M,8,0,0,0.90724647
10/12/15,Archival,A2M,8,0,0,3.348332727
10/12/15,Archival,A7M,8,0,0,1.834719217
10/12/15,Archival,T2M,8,0,0,1.510816956
10/20/15,Archival,A2M,8,0,0,3.940939897
10/20/15,Archival,A7M,8,0,0,2.563360184
10/20/15,Archival,T2M,8,0,0,1.536305842
10/28/15,Archival,A2M,8,1,12.5,2.088899034
10/28/15,Archival,A7M,8,0,0,1.487038079
10/28/15,Archival,T2M,8,0,0,1.195322117
11/5/15,Archival,A2M,8,0,0,2.180057931
11/5/15,Archival,A7M,8,1,12.5,1.066976815
11/5/15,Archival,T2M,8,0,0,1.04207103
11/13/15,Archival,A2M,8,0,0,2.317981052
11/13/15,Archival,A7M,8,1,12.5,1.519776857
11/13/15,Archival,T2M,8,0,0,1.171743768
11/21/15,Archival,A2M,8,4,50,3.071940857
11/21/15,Archival,A7M,8,2,25,1.636125284
11/21/15,Archival,T2M,8,1,12.5,1.042619425
11/29/15,Archival,A2M,8,6,75,1.957173717
11/29/15,Archival,A7M,8,4,50,0.996111465
11/29/15,Archival,T2M,8,2,25,0.718657354
12/7/15,Archival,A2M,8,6,75,1.587339514
12/7/15,Archival,A7M,8,5,62.5,0.944882014
12/7/15,Archival,T2M,8,4,50,0.828212905
12/15/15,Archival,A2M,8,1,12.5,1.908376288
12/15/15,Archival,A7M,8,0,0,0.930395025
12/15/15,Archival,T2M,8,0,0,0.72207295
12/23/15,Archival,A2M,8,3,37.5,1.52042537
12/23/15,Archival,A7M,8,1,12.5,0.710500872
12/23/15,Archival,T2M,8,1,12.5,0.589956439
12/31/15,Archival,A2M,8,5,62.5,NA
12/31/15,Archival,A7M,8,6,75,NA
12/31/15,Archival,T2M,8,4,50,NA
1/5/16,Archival,A2M,8,2,25,3.358412683
1/5/16,Archival,A7M,8,5,62.5,1.741340947
1/5/16,Archival,T2M,8,3,37.5,1.116515788
1/13/16,Archival,A2M,8,4,50,3.580181468
1/13/16,Archival,A7M,8,2,25,2.275800633
1/13/16,Archival,T2M,8,3,37.5,1.810438603
1/21/16,Archival,A2M,8,4,50,3.24021509
1/21/16,Archival,A7M,8,5,62.5,3.387828863
1/21/16,Archival,T2M,8,5,62.5,3.317207289
1/29/16,Archival,A2M,8,8,100,4.64441117
1/29/16,Archival,A7M,8,8,100,4.071671188
1/29/16,Archival,T2M,8,8,100,3.573939621
2/6/16,Archival,A2M,8,5,62.5,3.71856792
2/6/16,Archival,A7M,8,7,87.5,2.997808695
2/6/16,Archival,T2M,8,7,87.5,2.608586717
2/14/16,Archival,A2M,8,4,50,3.458559275
2/14/16,Archival,A7M,8,2,25,1.515333652
2/14/16,Archival,T2M,8,1,12.5,1.402512453
2/22/16,Archival,A2M,7,3,42.85714286,2.511831349
2/22/16,Archival,A7M,7,4,57.14285714,1.837235578
2/22/16,Archival,T2M,7,1,14.28571429,1.772978485
3/1/16,Archival,A2M,8,6,75,2.591217351
3/1/16,Archival,A7M,8,6,75,1.98062641
3/1/16,Archival,T2M,8,6,75,1.69505018
3/9/16,Archival,A2M,8,6,75,2.61668849
3/9/16,Archival,A7M,8,6,75,1.733882105
3/9/16,Archival,T2M,8,7,87.5,1.480438179
3/17/16,Archival,A2M,8,6,75,2.306084394
3/17/16,Archival,A7M,8,7,87.5,1.308501738
3/17/16,Archival,T2M,8,6,75,1.069284102
3/25/16,Archival,A2M,8,2,25,3.293960035
3/25/16,Archival,A7M,8,5,62.5,2.261889452
3/25/16,Archival,T2M,8,5,62.5,1.504951614
4/2/16,Archival,A2M,8,1,12.5,3.057765472
4/2/16,Archival,A7M,8,1,12.5,1.51731686
4/2/16,Archival,T2M,8,1,12.5,1.18143605
4/10/16,Archival,A2M,8,0,0,3.985095048
4/10/16,Archival,A7M,8,0,0,2.368607169
4/10/16,Archival,T2M,8,2,25,2.350888103
4/18/16,Archival,A2M,8,0,0,2.842867839
4/18/16,Archival,A7M,8,0,0,1.671903753
4/18/16,Archival,T2M,8,0,0,1.552390373
4/26/16,Archival,A2M,8,0,0,1.860519636
4/26/16,Archival,A7M,8,0,0,0.932359719
4/26/16,Archival,T2M,8,0,0,0.981264505
5/4/16,Archival,A2M,8,0,0,1.133358905
5/4/16,Archival,A7M,8,0,0,1.002619448
5/4/16,Archival,T2M,8,0,0,1.038685441
5/12/16,Archival,A2M,8,0,0,4.387327719
5/12/16,Archival,A7M,8,0,0,2.360563413
5/12/16,Archival,T2M,8,0,0,2.163018563
5/20/16,Archival,A2M,8,0,0,7.777685738
5/20/16,Archival,A7M,8,0,0,3.567863476
5/20/16,Archival,T2M,8,0,0,2.117359507
5/28/16,Archival,A2M,8,0,0,2.329769051
5/28/16,Archival,A7M,8,0,0,1.439651555
5/28/16,Archival,T2M,8,0,0,1.438977814
6/5/16,Archival,A2M,8,0,0,2.104555312
6/5/16,Archival,A7M,8,0,0,1.963652573
6/5/16,Archival,T2M,8,0,0,1.619618058
6/13/16,Archival,A2M,8,0,0,2.232034993
6/13/16,Archival,A7M,8,0,0,1.109421104
6/13/16,Archival,T2M,8,0,0,0.770051739
6/21/16,Archival,A2M,8,0,0,1.378438234
6/21/16,Archival,A7M,8,0,0,0.488447121
6/21/16,Archival,T2M,8,0,0,0.424833107
6/29/16,Archival,A2M,8,0,0,2.024252355
6/29/16,Archival,A7M,8,0,0,0.747628334
6/29/16,Archival,T2M,8,0,0,0.478381179
7/7/16,Archival,A2M,8,0,0,1.913369656
7/7/16,Archival,A7M,8,0,0,1.042765754
7/7/16,Archival,T2M,8,0,0,0.495534834
7/15/16,Archival,A2M,3,0,0,2.548748404
7/15/16,Archival,A7M,3,0,0,1.079492462
7/15/16,Archival,T2M,3,0,0,0.644912273
7/23/16,Archival,A2M,6,0,0,1.299323341
7/23/16,Archival,A7M,6,0,0,0.613491985
7/23/16,Archival,T2M,6,0,0,0.570298779
7/31/16,Archival,A2M,8,0,0,2.13091631
7/31/16,Archival,A7M,8,0,0,0.663840926
7/31/16,Archival,T2M,8,0,0,0.465268721
8/8/16,Archival,A2M,8,0,0,0.849181569
8/8/16,Archival,A7M,8,0,0,0.796970075
8/8/16,Archival,T2M,8,0,0,0.766756481
8/16/16,Archival,A2M,8,0,0,1.047739205
8/16/16,Archival,A7M,8,0,0,0.601870684
8/16/16,Archival,T2M,8,0,0,0.514934886
8/24/16,Archival,A2M,8,0,0,2.772762498
8/24/16,Archival,A7M,8,0,0,0.511365353
8/24/16,Archival,T2M,8,0,0,0.473120815
9/1/16,Archival,A2M,8,0,0,1.431615567
9/1/16,Archival,A7M,8,0,0,0.472886278
9/1/16,Archival,T2M,8,0,0,0.427514833
9/9/16,Archival,A2M,8,0,0,1.380910933
9/9/16,Archival,A7M,8,0,0,0.739820892
9/9/16,Archival,T2M,8,0,0,0.338711011
9/17/16,Archival,A2M,8,0,0,2.212486905
9/17/16,Archival,A7M,8,0,0,1.089594281
9/17/16,Archival,T2M,8,0,0,0.790830836
9/25/16,Archival,A2M,8,0,0,3.010787666
9/25/16,Archival,A7M,8,0,0,1.985129088
9/25/16,Archival,T2M,8,1,12.5,1.666010463
10/3/16,Archival,A2M,8,0,0,2.443360257
10/3/16,Archival,A7M,8,0,0,1.726121181
10/3/16,Archival,T2M,8,0,0,1.360554683
10/11/16,Archival,A2M,8,0,0,2.988388836
10/11/16,Archival,A7M,8,0,0,1.685435784
10/11/16,Archival,T2M,8,0,0,1.265655899
10/19/16,Archival,A2M,8,0,0,1.547242421
10/19/16,Archival,A7M,8,1,12.5,1.10228675
10/19/16,Archival,T2M,8,1,12.5,0.883551908
10/27/16,Archival,A2M,8,0,0,5.817771649
10/27/16,Archival,A7M,8,0,0,2.770752507
10/27/16,Archival,T2M,8,0,0,2.081170523
11/4/16,Archival,A2M,8,0,0,2.318090701
11/4/16,Archival,A7M,8,1,12.5,1.282574689
11/4/16,Archival,T2M,8,1,12.5,1.350075006
11/12/16,Archival,A2M,8,0,0,2.94841916
11/12/16,Archival,A7M,8,0,0,1.517781711
11/12/16,Archival,T2M,8,0,0,1.218800813
11/20/16,Archival,A2M,8,2,25,2.632334507
11/20/16,Archival,A7M,8,1,12.5,1.292674348
11/20/16,Archival,T2M,8,0,0,0.836870673
11/28/16,Archival,A2M,7,4,57.14285714,1.876120907
11/28/16,Archival,A7M,8,1,12.5,1.01488685
11/28/16,Archival,T2M,8,0,0,0.870637816
12/6/16,Archival,A2M,8,0,0,2.722088081
12/6/16,Archival,A7M,8,0,0,1.004527589
12/6/16,Archival,T2M,8,0,0,0.71861046
12/14/16,Archival,A2M,8,3,37.5,2.041709191
12/14/16,Archival,A7M,8,2,25,3.76405033
12/14/16,Archival,T2M,8,0,0,5.87618022
12/22/16,Archival,A2M,8,4,50,3.002710915
12/22/16,Archival,A7M,8,5,62.5,1.785265577
12/22/16,Archival,T2M,7,0,0,1.224731117
12/30/16,Archival,A2M,8,6,75,7.723474302
12/30/16,Archival,A7M,8,8,100,4.795183347
12/30/16,Archival,T2M,8,NA,NA,2.527331394
1/5/17,Archival,A2M,8,3,37.5,6.438332939
1/5/17,Archival,A7M,8,3,37.5,11.19006795
1/5/17,Archival,T2M,5,NA,NA,9.23520788
1/13/17,Archival,A2M,8,4,50,19.09227848
1/13/17,Archival,A7M,8,3,37.5,NA
1/13/17,Archival,T2M,8,5,62.5,NA
1/21/17,Archival,A2M,8,0,0,NA
1/21/17,Archival,A7M,8,2,25,NA
1/21/17,Archival,T2M,8,2,25,NA
1/29/17,Archival,A2M,8,1,12.5,2.588129783
1/29/17,Archival,A7M,8,1,12.5,1.980174905
1/29/17,Archival,T2M,8,1,12.5,2.031014562
2/6/17,Archival,A2M,8,0,0,2.84956875
2/6/17,Archival,A7M,8,0,0,1.98192892
2/6/17,Archival,T2M,8,1,12.5,1.71705
2/14/17,Archival,A2M,8,0,0,2.56030744
2/14/17,Archival,A7M,8,0,0,2.09801067
2/14/17,Archival,T2M,8,0,0,2.06284673
2/22/17,Archival,A2M,8,0,0,1.86382849
2/22/17,Archival,A7M,8,0,0,1.43252037
2/22/17,Archival,T2M,8,0,0,1.48917498
3/2/17,Archival,A2M,8,1,12.5,3.334072506
3/2/17,Archival,A7M,8,1,12.5,2.969955683
3/2/17,Archival,T2M,8,2,25,3.314708292
3/10/17,Archival,A2M,8,1,12.5,2.884938157
3/10/17,Archival,A7M,8,2,25,2.118467188
3/10/17,Archival,T2M,8,1,12.5,1.945780587
3/18/17,Archival,A2M,8,1,12.5,2.937875342
3/18/17,Archival,A7M,8,3,37.5,2.270856547
3/18/17,Archival,T2M,8,2,25,2.197913814
3/26/17,Archival,A2M,8,1,12.5,4.137258863
3/26/17,Archival,A7M,8,0,0,2.70841924
3/26/17,Archival,T2M,8,0,0,2.450564086
4/3/17,Archival,A2M,8,0,0,2.705469662
4/3/17,Archival,A7M,8,1,12.5,1.779526114
4/3/17,Archival,T2M,8,0,0,1.540792519
4/11/17,Archival,A2M,8,0,0,3.72495302
4/11/17,Archival,A7M,8,0,0,2.09706021
4/11/17,Archival,T2M,8,0,0,1.791111583
4/19/17,Archival,A2M,8,0,0,2.98843872
4/19/17,Archival,A7M,8,0,0,1.882509351
4/19/17,Archival,T2M,8,0,0,1.797171474
4/27/17,Archival,A2M,8,0,0,4.32013162
4/27/17,Archival,A7M,8,0,0,3.161488777
4/27/17,Archival,T2M,8,0,0,1.355753642
5/5/17,Archival,A2M,8,0,0,6.94718616
5/5/17,Archival,A7M,8,0,0,4.304434633
5/5/17,Archival,T2M,8,0,0,4.027149189
5/13/17,Archival,A2M,8,0,0,3.149935436
5/13/17,Archival,A7M,8,0,0,2.103441519
5/13/17,Archival,T2M,8,0,0,1.797625697
5/21/17,Archival,A2M,8,0,0,2.484381366
5/21/17,Archival,A7M,8,0,0,1.6926615
5/21/17,Archival,T2M,8,0,0,1.230265382
5/29/17,Archival,A2M,8,0,0,2.490162581
5/29/17,Archival,A7M,8,0,0,1.910234332
5/29/17,Archival,T2M,8,0,0,1.358142936
6/6/17,Archival,A2M,9,0,0,NA
6/6/17,Archival,A7M,9,1,11.11111111,1.036481142
6/6/17,Archival,T2M,9,1,11.11111111,0.772763997
6/14/17,Archival,A2M,10,1,10,2.862305731
6/14/17,Archival,A7M,10,2,20,1.609135312
6/14/17,Archival,T2M,9,1,11.11111111,1.063554597
6/22/17,Archival,A2M,8,0,0,3.751857376
6/22/17,Archival,A7M,8,0,0,2.691336739
6/22/17,Archival,T2M,8,0,0,2.254404891
6/30/17,Archival,A2M,8,0,0,3.070621216
6/30/17,Archival,A7M,8,0,0,2.424332654
6/30/17,Archival,T2M,8,0,0,2.393456733
7/8/17,Archival,A2M,8,0,0,1.384715322
7/8/17,Archival,A7M,8,0,0,1.01614072
7/8/17,Archival,T2M,8,0,0,0.921044323
7/16/17,Archival,A2M,8,0,0,1.319657439
7/16/17,Archival,A7M,8,0,0,0.841682607
7/16/17,Archival,T2M,8,0,0,0.769982129
7/24/17,Archival,A2M,8,0,0,2.629031658
7/24/17,Archival,A7M,8,0,0,NA
7/24/17,Archival,T2M,8,0,0,NA
8/1/17,Archival,A2M,8,0,0,3.926079154
8/1/17,Archival,A7M,8,0,0,1.249941093
8/1/17,Archival,T2M,8,0,0,1.195243841
8/9/17,Archival,A2M,8,0,0,6.817792702
8/9/17,Archival,A7M,8,0,0,5.786253345
8/9/17,Archival,T2M,8,0,0,4.031558949
8/17/17,Archival,A2M,8,0,0,7.72817204
8/17/17,Archival,A7M,8,0,0,4.104432333
8/17/17,Archival,T2M,8,0,0,3.950848925
8/25/17,Archival,A2M,8,0,0,10.87113245
8/25/17,Archival,A7M,8,0,0,5.686023164
8/25/17,Archival,T2M,8,0,0,5.444994247
9/2/17,Archival,A2M,8,0,0,6.882648993
9/2/17,Archival,A7M,8,0,0,4.186458486
9/2/17,Archival,T2M,8,0,0,2.036390543
9/10/17,Archival,A2M,8,0,0,3.737964809
9/10/17,Archival,A7M,8,0,0,2.465839499
9/10/17,Archival,T2M,8,0,0,1.391719368
9/18/17,Archival,A2M,8,0,0,2.843911928
9/18/17,Archival,A7M,8,0,0,1.288570905
9/18/17,Archival,T2M,8,0,0,1.120988539
9/26/17,Archival,A2M,8,0,0,2.546207941
9/26/17,Archival,A7M,8,0,0,1.444703257
9/26/17,Archival,T2M,8,0,0,1.149545497
10/4/17,Archival,A2M,8,0,0,3.185597241
10/4/17,Archival,A7M,8,0,0,1.502335292
10/4/17,Archival,T2M,8,0,0,1.19486475
10/12/17,Archival,A2M,8,0,0,1.057220459
10/12/17,Archival,A7M,8,0,0,0.77362942
10/12/17,Archival,T2M,8,0,0,0.74743083
10/20/17,Archival,A2M,8,0,0,2.77855956
10/20/17,Archival,A7M,8,0,0,1.507204741
10/20/17,Archival,T2M,8,0,0,1.315798604
10/28/17,Archival,A2M,8,0,0,2.398171002
10/28/17,Archival,A7M,8,0,0,1.428249913
10/28/17,Archival,T2M,8,0,0,1.216242176
11/5/17,Archival,A2M,8,0,0,3.234055245
11/5/17,Archival,A7M,8,0,0,2.149984848
11/5/17,Archival,T2M,8,0,0,1.524464214
11/13/17,Archival,A2M,8,0,0,6.65582943
11/13/17,Archival,A7M,8,0,0,NA
11/13/17,Archival,T2M,8,0,0,NA
11/21/17,Archival,A2M,3,0,0,3.514850557
11/21/17,Archival,A7M,4,1,25,2.245658076
11/21/17,Archival,T2M,3,0,0,1.581117183
