site,time,mean_chla
A2,5/12/16,4.387327719
A2,5/20/16,7.777685738
A2,5/28/16,2.329769051
A2,6/5/16,2.104555312
A2,6/13/16,2.232034993
A2,6/21/16,1.378438234
A2,6/29/16,2.024252355
A2,7/7/16,1.913369656
A2,7/15/16,2.548748404
A2,7/23/16,1.299323341
A2,7/31/16,2.13091631
A2,8/8/16,0.849181569
A2,8/16/16,1.047739205
A2,8/24/16,2.772762498
A2,9/1/16,1.431615567
A2,9/9/16,1.380910933
A2,9/17/16,2.212486905
A2,9/25/16,3.010787666
A2,10/3/16,2.443360257
A2,10/11/16,2.988388836
A2,10/19/16,1.547242421
A2,10/27/16,5.817771649
A2,11/4/16,2.318090701
A2,11/12/16,2.94841916
A2,11/20/16,2.632334507
A2,11/28/16,1.876120907
A2,12/6/16,2.722088081
A2,12/14/16,2.041709191
A2,12/22/16,3.002710915
A2,12/30/16,7.723474302
A2,1/5/17,6.438332939
A2,1/13/17,19.09227848
A2,1/21/17,NA
A2,1/29/17,2.588129783
A2,2/6/17,2.849568748
A2,2/14/17,2.560307443
A2,2/22/17,1.863828492
A2,3/2/17,3.334072506
A2,3/10/17,2.884938157
A2,3/18/17,2.937875342
A2,3/26/17,4.137258863
A2,4/3/17,2.705469662
A2,4/11/17,3.72495302
A2,4/19/17,2.98843872
A2,4/27/17,4.32013162
A2,5/5/17,6.94718616
A2,5/13/17,3.149935436
A2,5/21/17,2.484381366
A2,5/29/17,2.490162581
A2,6/6/17,NA
A2,6/14/17,2.862305731
A2,6/22/17,3.751857376
A2,6/30/17,3.070621216
A2,7/8/17,1.384715322
A2,7/16/17,1.319657439
A2,7/24/17,2.629031658
A2,8/1/17,3.926079154
A2,8/9/17,6.817792702
A2,8/17/17,7.72817204
A2,8/25/17,10.87113245
A2,9/2/17,6.882648993
A2,9/10/17,3.737964809
A2,9/18/17,2.843911928
A2,9/26/17,2.546207941
A2,10/4/17,3.185597241
A2,10/12/17,1.057220459
A2,10/20/17,2.77855956
A2,10/28/17,2.398171002
A2,11/5/17,3.234055245
A2,11/13/17,6.65582943
A2,11/21/17,3.514850557
A2,11/29/17,3.305467117
A2,12/7/17,NA
A2,12/15/17,2.152260005
A2,12/23/17,3.977981281
A2,12/31/17,2.311007589
A7,10/28/14,1.55862233
A7,11/5/14,1.633411998
A7,11/13/14,1.247422278
A7,11/21/14,2.864080983
A7,11/29/14,1.851084256
A7,12/7/14,NA
A7,12/15/14,1.529280716
A7,12/23/14,1.895364362
A7,12/31/14,3.539185286
A7,1/5/15,2.011083114
A7,1/13/15,1.538048249
A7,1/21/15,0.651059496
A7,1/29/15,3.594344556
A7,2/6/15,5.25132339
A7,2/14/15,3.395716608
A7,2/22/15,2.176550013
A7,3/2/15,NA
A7,3/10/15,3.671378255
A7,3/18/15,8.836072445
A7,3/26/15,17.03671343
A7,4/3/15,6.344321799
A7,4/11/15,4.020244789
A7,4/19/15,2.657239783
A7,4/27/15,3.225383222
A7,5/5/15,3.825453389
A7,5/13/15,2.518293959
A7,5/21/15,1.080549964
A7,5/29/15,1.556064469
A7,6/6/15,1.352045581
A7,6/14/15,0.946870106
A7,6/22/15,0.8169853
A7,6/30/15,0.59572923
A7,7/8/15,0.617792788
A7,7/16/15,0.427981578
A7,7/24/15,0.563893345
A7,8/1/15,0.513303474
A7,8/9/15,2.021380603
A7,8/17/15,3.000336206
A7,8/25/15,5.723596096
A7,9/2/15,3.268079519
A7,9/10/15,6.232270551
A7,9/18/15,2.805997944
A7,9/26/15,2.338153911
A7,10/4/15,1.161043695
A7,10/12/15,1.834719217
A7,10/20/15,2.563360184
A7,10/28/15,1.487038079
A7,11/5/15,1.066976815
A7,11/13/15,1.519776857
A7,11/21/15,1.636125284
A7,11/29/15,0.996111465
A7,12/7/15,0.944882014
A7,12/15/15,0.930395025
A7,12/23/15,0.710500872
A7,12/31/15,NA
A7,1/5/16,1.741340947
A7,1/13/16,2.275800633
A7,1/21/16,3.387828863
A7,1/29/16,4.071671188
A7,2/6/16,2.997808695
A7,2/14/16,1.515333652
A7,2/22/16,1.837235578
A7,3/1/16,1.98062641
A7,3/9/16,1.733882105
A7,3/17/16,1.308501738
A7,3/25/16,2.261889452
A7,4/2/16,1.51731686
A7,4/10/16,2.368607169
A7,4/18/16,1.671903753
A7,4/26/16,0.932359719
A7,5/4/16,1.002619448
A7,5/12/16,2.360563413
A7,5/20/16,3.567863476
A7,5/28/16,1.439651555
A7,6/5/16,1.963652573
A7,6/13/16,1.109421104
A7,6/21/16,0.488447121
A7,6/29/16,0.747628334
A7,7/7/16,1.042765754
A7,7/15/16,1.079492462
A7,7/23/16,0.613491985
A7,7/31/16,0.663840926
A7,8/8/16,0.796970075
A7,8/16/16,0.601870684
A7,8/24/16,0.511365353
A7,9/1/16,0.472886278
A7,9/9/16,0.739820892
A7,9/17/16,1.089594281
A7,9/25/16,1.985129088
A7,10/3/16,1.726121181
A7,10/11/16,1.685435784
A7,10/19/16,1.10228675
A7,10/27/16,2.770752507
A7,11/4/16,1.282574689
A7,11/12/16,1.517781711
A7,11/20/16,1.292674348
A7,11/28/16,1.01488685
A7,12/6/16,1.004527589
A7,12/14/16,3.76405033
A7,12/22/16,1.785265577
A7,12/30/16,4.795183347
A7,1/5/17,11.19006795
A7,1/13/17,NA
A7,1/21/17,NA
A7,1/29/17,1.980174905
A7,2/6/17,1.981928915
A7,2/14/17,2.098010671
A7,2/22/17,1.432520366
A7,3/2/17,2.969955683
A7,3/10/17,2.118467188
A7,3/18/17,2.270856547
A7,3/26/17,2.70841924
A7,4/3/17,1.779526114
A7,4/11/17,2.09706021
A7,4/19/17,1.882509351
A7,4/27/17,3.161488777
A7,5/5/17,4.304434633
A7,5/13/17,2.103441519
A7,5/21/17,1.6926615
A7,5/29/17,1.910234332
A7,6/6/17,1.036481142
A7,6/14/17,1.609135312
A7,6/22/17,2.691336739
A7,6/30/17,2.424332654
A7,7/8/17,1.01614072
A7,7/16/17,0.841682607
A7,7/24/17,NA
A7,8/1/17,1.249941093
A7,8/9/17,5.786253345
A7,8/17/17,4.104432333
A7,8/25/17,5.686023164
A7,9/2/17,4.186458486
A7,9/10/17,2.465839499
A7,9/18/17,1.288570905
A7,9/26/17,1.444703257
A7,10/4/17,1.502335292
A7,10/12/17,0.77362942
A7,10/20/17,1.507204741
A7,10/28/17,1.428249913
A7,11/5/17,2.149984848
A7,11/13/17,NA
A7,11/21/17,2.245658076
A7,11/29/17,1.978195763
A7,12/7/17,NA
A7,12/15/17,1.247448051
A7,12/23/17,3.887489164
A7,12/31/17,1.034020007
T2,10/28/14,1.389528579
T2,11/5/14,1.836012065
T2,11/13/14,0.978516656
T2,11/21/14,2.161379588
T2,11/29/14,1.425712162
T2,12/7/14,NA
T2,12/15/14,1.29322691
T2,12/23/14,1.302766648
T2,12/31/14,2.878042912
T2,1/5/15,1.73719005
T2,1/13/15,1.168786976
T2,1/21/15,0.533568719
T2,1/29/15,2.606901777
T2,2/6/15,4.720648086
T2,2/14/15,2.567089802
T2,2/22/15,1.654281753
T2,3/2/15,NA
T2,3/10/15,5.223754478
T2,3/18/15,9.158496584
T2,3/26/15,17.37302475
T2,4/3/15,9.261087632
T2,4/11/15,5.406941962
T2,4/19/15,3.091363114
T2,4/27/15,1.149248007
T2,5/5/15,1.920281267
T2,5/13/15,1.697129089
T2,5/21/15,0.763656613
T2,5/29/15,1.200329587
T2,6/6/15,0.77588581
T2,6/14/15,0.824789238
T2,6/22/15,0.664665571
T2,6/30/15,0.487473716
T2,7/8/15,0.584446937
T2,7/16/15,0.41629371
T2,7/24/15,0.518858218
T2,8/1/15,0.705086672
T2,8/9/15,2.023326744
T2,8/17/15,4.638449478
T2,8/25/15,5.406199574
T2,9/2/15,3.028149605
T2,9/10/15,7.570483279
T2,9/18/15,2.064385861
T2,9/26/15,2.2775021
T2,10/4/15,0.90724647
T2,10/12/15,1.510816956
T2,10/20/15,1.536305842
T2,10/28/15,1.195322117
T2,11/5/15,1.04207103
T2,11/13/15,1.171743768
T2,11/21/15,1.042619425
T2,11/29/15,0.718657354
T2,12/7/15,0.828212905
T2,12/15/15,0.72207295
T2,12/23/15,0.589956439
T2,12/31/15,NA
T2,1/5/16,1.116515788
T2,1/13/16,1.810438603
T2,1/21/16,3.317207289
T2,1/29/16,3.573939621
T2,2/6/16,2.608586717
T2,2/14/16,1.402512453
T2,2/22/16,1.772978485
T2,3/1/16,1.69505018
T2,3/9/16,1.480438179
T2,3/17/16,1.069284102
T2,3/25/16,1.504951614
T2,4/2/16,1.18143605
T2,4/10/16,2.350888103
T2,4/18/16,1.552390373
T2,4/26/16,0.981264505
T2,5/4/16,1.038685441
T2,5/12/16,2.163018563
T2,5/20/16,2.117359507
T2,5/28/16,1.438977814
T2,6/5/16,1.619618058
T2,6/13/16,0.770051739
T2,6/21/16,0.424833107
T2,6/29/16,0.478381179
T2,7/7/16,0.495534834
T2,7/15/16,0.644912273
T2,7/23/16,0.570298779
T2,7/31/16,0.465268721
T2,8/8/16,0.766756481
T2,8/16/16,0.514934886
T2,8/24/16,0.473120815
T2,9/1/16,0.427514833
T2,9/9/16,0.338711011
T2,9/17/16,0.790830836
T2,9/25/16,1.666010463
T2,10/3/16,1.360554683
T2,10/11/16,1.265655899
T2,10/19/16,0.883551908
T2,10/27/16,2.081170523
T2,11/4/16,1.350075006
T2,11/12/16,1.218800813
T2,11/20/16,0.836870673
T2,11/28/16,0.870637816
T2,12/6/16,0.71861046
T2,12/14/16,5.87618022
T2,12/22/16,1.224731117
T2,12/30/16,2.527331394
T2,1/5/17,9.23520788
T2,1/13/17,NA
T2,1/21/17,NA
T2,1/29/17,2.031014562
T2,2/6/17,1.717050004
T2,2/14/17,2.062846726
T2,2/22/17,1.48917498
T2,3/2/17,3.314708292
T2,3/10/17,1.945780587
T2,3/18/17,2.197913814
T2,3/26/17,2.450564086
T2,4/3/17,1.540792519
T2,4/11/17,1.791111583
T2,4/19/17,1.797171474
T2,4/27/17,1.355753642
T2,5/5/17,4.027149189
T2,5/13/17,1.797625697
T2,5/21/17,1.230265382
T2,5/29/17,1.358142936
T2,6/6/17,0.772763997
T2,6/14/17,1.063554597
T2,6/22/17,2.254404891
T2,6/30/17,2.393456733
T2,7/8/17,0.921044323
T2,7/16/17,0.769982129
T2,7/24/17,NA
T2,8/1/17,1.195243841
T2,8/9/17,4.031558949
T2,8/17/17,3.950848925
T2,8/25/17,5.444994247
T2,9/2/17,2.036390543
T2,9/10/17,1.391719368
T2,9/18/17,1.120988539
T2,9/26/17,1.149545497
T2,10/4/17,1.19486475
T2,10/12/17,0.74743083
T2,10/20/17,1.315798604
T2,10/28/17,1.216242176
T2,11/5/17,1.524464214
T2,11/13/17,NA
T2,11/21/17,1.581117183
T2,11/29/17,1.56290071
T2,12/7/17,0.463582605
T2,12/15/17,1.059608576
T2,12/23/17,2.103617775
T2,12/31/17,0.813092729
